DATE,P
07/02/2013,8.74
07/02/2013,5.83
10/08/2013,10.24
10/08/2013,7.49
01/14/2014,1.93
01/14/2014,1.34
04/10/2014,8.73
04/10/2014,21.26
07/02/2014,8.44
07/02/2014,18.5
10/15/2014,12.25
01/06/2015,4.55
01/06/2015,1.8
04/06/2015,5.37
04/06/2015,11.81
07/28/2015,14.47
07/28/2015,15.01
