Date,ddin,ddon
05/27/2001,1.410890671,0.545105025
05/28/2001,1.362159551,0.550482249
05/29/2001,0.4725691,0.598962888
05/30/2001,1.361492926,0.556248714
05/31/2001,1.506272964,0.550626825
06/01/2001,1.530118537,0.552007275
06/02/2001,1.553964111,0.553387725
06/03/2001,1.222304462,0.577210469
06/04/2001,0.381787654,0.640331626
06/05/2001,0.63111768,0.610032032
06/06/2001,1.649346404,0.558909525
06/07/2001,1.673191977,0.560289975
06/08/2001,1.697037551,0.561670425
06/09/2001,0.095695338,0.726337002
06/10/2001,0.083670132,0.691285707
06/11/2001,0.185259746,0.705182663
06/12/2001,1.760657167,0.559847744
06/13/2001,1.772107549,0.558362055
06/14/2001,1.783557931,0.556876367
06/15/2001,1.795008313,0.555390678
06/16/2001,1.806458696,0.553904989
06/17/2001,1.817909078,0.5524193
06/18/2001,1.82935946,0.550933612
06/19/2001,1.840809842,0.549447923
06/20/2001,1.852260224,0.547962234
06/21/2001,1.863710607,0.546476545
06/22/2001,1.875160989,0.544990857
06/23/2001,1.886611371,0.543505168
06/24/2001,1.898061753,0.542019479
06/25/2001,1.909512135,0.54053379
06/26/2001,1.920962518,0.539048102
06/27/2001,1.9324129,0.537562413
06/28/2001,1.943863282,0.536076724
06/29/2001,1.955313664,0.534591036
06/30/2001,1.966764046,0.533105347
07/01/2001,1.978214429,0.531619658
07/02/2001,1.989664811,0.530133969
07/03/2001,0.065341071,0.66743632
07/04/2001,0.073807653,0.68608764
07/05/2001,0.765439083,0.598261988
07/06/2001,1.947918615,0.523514415
07/07/2001,1.936022937,0.521848246
07/08/2001,1.92412726,0.520182078
07/09/2001,1.912231582,0.518515909
07/10/2001,1.900335904,0.516849741
07/11/2001,1.888440226,0.515183572
07/12/2001,1.876544549,0.513517404
07/13/2001,1.864648871,0.511851235
07/14/2001,1.852753193,0.510185066
07/15/2001,1.743781696,0.515068454
07/16/2001,0.125978185,0.657142324
07/17/2001,0.081287088,0.660417767
07/18/2001,0.160599597,0.636234198
07/19/2001,1.793274805,0.501854224
07/20/2001,1.121485077,0.540530556
07/21/2001,0.182042724,0.616131661
07/22/2001,1.757587772,0.496855718
07/23/2001,1.745692094,0.495189549
07/24/2001,1.733796416,0.493523381
07/25/2001,1.721900739,0.491857212
07/26/2001,1.690137439,0.489860408
07/27/2001,1.657049631,0.487841561
07/28/2001,1.623961824,0.485822714
07/29/2001,1.590874016,0.483803867
07/30/2001,1.557786208,0.48178502
07/31/2001,1.5246984,0.479766173
08/01/2001,1.4786048,0.478581451
08/02/2001,0.184907311,0.552335596
08/03/2001,0.114936887,0.570879009
08/04/2001,0.068530216,0.592545838
08/05/2001,0.057933341,0.600339815
08/06/2001,0.514544574,0.509242044
08/07/2001,1.293083746,0.465634244
08/08/2001,1.259995938,0.463615397
08/09/2001,1.22690813,0.46159655
08/10/2001,1.193820323,0.459577704
08/11/2001,1.160732515,0.457558857
08/12/2001,1.127644707,0.45554001
08/13/2001,1.094556899,0.453521163
08/14/2001,1.061469092,0.451502316
08/15/2001,1.028381284,0.449483469
08/16/2001,0.995293476,0.447464622
08/17/2001,0.96273528,0.445278586
08/18/2001,0.933884366,0.441922225
08/19/2001,0.905033452,0.438565864
08/20/2001,0.853151242,0.436752268
08/21/2001,0.847331624,0.431853141
08/22/2001,0.81848071,0.42849678
08/23/2001,0.789629795,0.425140419
08/24/2001,0.760778881,0.421784058
08/25/2001,0.700443631,0.420451971
08/26/2001,0.128003013,0.426754449
08/27/2001,0.674226139,0.411714975
08/28/2001,0.0798917,0.442415174
08/29/2001,0.05712908,0.499341981
08/30/2001,0.053704451,0.514385248
08/31/2001,0.056446516,0.489786247
09/01/2001,0.057953059,0.47219165
09/02/2001,0.057110106,0.476026898
09/03/2001,0.05307428,0.504292728
09/04/2001,0.052170709,0.504853763
09/05/2001,0.051940232,0.501723576
09/06/2001,0.052298994,0.493870163
09/07/2001,0.054554577,0.468215511
09/08/2001,0.056247594,0.448923371
09/09/2001,0.05988679,0.42579086
09/10/2001,0.066847741,0.384597976
09/11/2001,0.090608393,0.341877872
09/12/2001,0.062689119,0.390319065
09/13/2001,0.071199316,0.351698765
09/14/2001,0.189741348,0.347433579
09/15/2001,0.247704217,0.342303569
09/16/2001,0.238123869,0.338053657
09/17/2001,0.22854352,0.333803744
09/18/2001,0.218963172,0.329553831
09/19/2001,0.209382824,0.325303919
09/20/2001,0.199802475,0.321054006
09/21/2001,0.190222127,0.316804093
09/22/2001,0.058482888,0.337084442
09/23/2001,0.057126551,0.341365151
