Bay,DATE,REP,N
LB,01/09/1998,3,25
LB,04/01/1998,1,51
LB,04/01/1998,2,35
LB,04/01/1998,3,48
LB,04/01/1998,1,10
LB,04/01/1998,2,24
LB,04/01/1998,3,43
LB,07/06/1998,1,44
LB,07/06/1998,2,39
LB,07/06/1998,3,51
LB,07/06/1998,1,17
LB,07/06/1998,2,18
LB,07/06/1998,3,17
LB,10/12/1998,1,38
LB,10/12/1998,2,25
LB,10/12/1998,3,54
LB,10/12/1998,1,26
LB,10/12/1998,2,31
LB,10/12/1998,3,30
LB,01/05/1999,1,20
LB,01/05/1999,2,14
LB,01/05/1999,3,18
LB,01/05/1999,1,5
LB,01/05/1999,2,11
LB,01/05/1999,3,5
LB,04/06/1999,1,9
LB,04/06/1999,2,29
LB,04/06/1999,3,13
LB,04/06/1999,1,8
LB,04/06/1999,2,19
LB,04/06/1999,3,16
LB,07/01/1999,1,22
LB,07/01/1999,2,14
LB,07/01/1999,3,4
LB,07/01/1999,1,18
LB,07/01/1999,2,3
LB,07/01/1999,3,11
LB,10/21/1999,1,4
LB,10/21/1999,2,12
LB,10/21/1999,3,10
LB,10/21/1999,1,11
LB,10/21/1999,2,28
LB,10/21/1999,3,7
LB,01/19/2000,1,30
LB,01/19/2000,2,41
LB,01/19/2000,3,18
LB,01/19/2000,1,12
LB,01/19/2000,2,11
LB,01/19/2000,3,18
LB,04/21/2000,1,30
LB,04/21/2000,2,29
LB,04/21/2000,3,22
LB,04/21/2000,1,13
LB,04/21/2000,2,22
LB,04/21/2000,3,15
LB,07/10/2000,1,13
LB,07/10/2000,2,27
LB,07/10/2000,3,13
LB,07/10/2000,1,17
LB,07/10/2000,2,13
LB,07/10/2000,3,14
LB,10/04/2000,1,17
LB,10/04/2000,2,12
LB,10/04/2000,3,13
LB,10/04/2000,1,20
LB,10/04/2000,2,19
LB,10/04/2000,3,10
LB,01/04/2001,1,23
LB,01/04/2001,2,38
LB,01/04/2001,3,32
LB,01/04/2001,1,53
LB,01/04/2001,2,34
LB,01/04/2001,3,38
LB,04/03/2001,1,12
LB,04/03/2001,2,29
LB,04/03/2001,3,29
LB,04/03/2001,1,15
LB,04/03/2001,2,12
LB,04/03/2001,3,20
LB,07/10/2001,1,12
LB,07/10/2001,2,10
LB,07/10/2001,3,16
LB,07/10/2001,1,12
LB,07/10/2001,2,8
LB,07/10/2001,3,10
LB,10/01/2001,1,6
LB,10/01/2001,2,17
LB,10/01/2001,3,11
LB,10/01/2001,1,13
LB,10/01/2001,2,9
LB,10/01/2001,3,11
LB,01/03/2002,1,8
LB,01/03/2002,2,11
LB,01/03/2002,3,12
LB,01/03/2002,1,8
LB,01/03/2002,2,6
LB,01/03/2002,3,4
LB,04/01/2002,1,23
LB,04/01/2002,2,19
LB,04/01/2002,3,22
LB,04/01/2002,1,16
LB,04/01/2002,2,15
LB,04/01/2002,3,19
LB,07/08/2002,1,11
LB,07/08/2002,2,19
LB,07/08/2002,3,9
LB,07/08/2002,1,13
LB,07/08/2002,2,18
LB,07/08/2002,3,7
LB,10/09/2002,1,8
LB,10/09/2002,2,10
LB,10/09/2002,3,10
LB,10/09/2002,1,10
LB,10/09/2002,2,8
LB,10/09/2002,3,7
LB,01/14/2003,1,9
LB,01/14/2003,2,10
LB,01/14/2003,3,10
LB,01/14/2003,1,14
LB,01/14/2003,2,3
LB,01/14/2003,3,12
LB,04/14/2003,1,31
LB,04/14/2003,2,27
LB,04/14/2003,3,36
LB,04/14/2003,1,32
LB,04/14/2003,2,29
LB,04/14/2003,3,16
LB,07/21/2003,1,18
LB,07/21/2003,2,27
LB,07/21/2003,3,37
LB,07/21/2003,1,17
LB,07/21/2003,2,14
LB,07/21/2003,3,12
LB,10/13/2003,1,3
LB,10/13/2003,2,11
LB,10/13/2003,3,8
LB,10/13/2003,1,7
LB,10/13/2003,2,5
LB,10/13/2003,3,12
LB,01/08/2004,1,2
LB,01/08/2004,2,6
LB,01/08/2004,3,4
LB,01/08/2004,1,2
LB,01/08/2004,2,2
LB,01/08/2004,3,3
LB,04/06/2004,1,9
LB,04/06/2004,2,11
LB,04/06/2004,3,9
LB,04/06/2004,1,6
LB,04/06/2004,2,7
LB,04/06/2004,3,3
LB,07/01/2004,1,17
LB,07/01/2004,2,13
LB,07/01/2004,3,5
LB,07/01/2004,1,6
LB,07/01/2004,2,5
LB,07/01/2004,3,11
LB,10/12/2004,1,8
LB,10/12/2004,2,12
LB,10/12/2004,3,22
LB,10/12/2004,1,3
LB,10/12/2004,2,4
LB,10/12/2004,3,11
LB,01/04/2005,1,2
LB,01/04/2005,2,12
LB,01/04/2005,3,4
LB,01/04/2005,1,7
LB,01/04/2005,2,4
LB,01/04/2005,3,1
LB,04/06/2005,1,43
LB,04/06/2005,2,9
LB,04/06/2005,3,13
LB,04/06/2005,1,1
LB,04/06/2005,2,9
LB,04/06/2005,3,5
LB,07/01/2005,1,20
LB,07/01/2005,2,17
LB,07/01/2005,3,14
LB,07/01/2005,1,2
LB,07/01/2005,2,6
LB,07/01/2005,3,4
LB,10/04/2005,1,29
LB,10/04/2005,2,24
LB,10/04/2005,3,37
LB,10/04/2005,1,7
LB,10/04/2005,2,8
LB,10/04/2005,3,14
LB,01/03/2006,1,48
LB,01/03/2006,2,33
LB,01/03/2006,3,43
LB,01/03/2006,1,19
LB,01/03/2006,2,13
LB,01/03/2006,3,23
LB,04/05/2006,1,35
LB,04/05/2006,2,41
LB,04/05/2006,3,37
LB,04/05/2006,1,16
LB,04/05/2006,2,9
LB,04/05/2006,3,16
LB,07/11/2006,1,14
LB,07/11/2006,2,13
LB,07/11/2006,3,3
LB,07/11/2006,1,1
LB,07/11/2006,2,3
LB,07/11/2006,3,2
LB,10/10/2006,1,9
LB,10/10/2006,2,7
LB,10/10/2006,3,8
LB,10/10/2006,1,3
LB,10/10/2006,2,9
LB,10/10/2006,3,8
LB,01/05/2007,1,10
LB,01/05/2007,2,19
LB,01/05/2007,3,24
LB,01/05/2007,1,10
LB,01/05/2007,2,11
LB,01/05/2007,3,5
LB,04/02/2007,1,57
LB,04/02/2007,2,23
LB,04/02/2007,3,39
LB,04/03/2007,1,23
LB,04/03/2007,2,18
LB,04/03/2007,3,20
LB,04/03/2007,1,9
LB,04/03/2007,2,15
LB,04/03/2007,3,9
LB,07/23/2007,1,6
LB,07/23/2007,2,1
LB,07/23/2007,3,3
LB,07/24/2007,1,7
LB,07/24/2007,2,2
LB,07/24/2007,3,4
LB,07/24/2007,1,8
LB,07/24/2007,2,1
LB,07/24/2007,3,2
LB,10/02/2007,1,6
LB,10/02/2007,2,4
LB,10/02/2007,3,5
LB,10/02/2007,1,6
LB,10/02/2007,2,4
LB,10/02/2007,3,3
LB,10/02/2007,1,2
LB,10/02/2007,2,3
LB,10/02/2007,3,1
LB,01/07/2008,1,61
LB,01/07/2008,2,46
LB,01/07/2008,3,38
LB,01/08/2008,1,16
LB,01/08/2008,2,7
LB,01/08/2008,3,10
LB,01/08/2008,1,11
LB,01/08/2008,2,10
LB,01/08/2008,3,2
LB,04/02/2008,1,38
LB,04/02/2008,2,50
LB,04/02/2008,3,15
LB,04/02/2008,1,6
LB,04/02/2008,2,13
LB,04/02/2008,3,23
LB,04/02/2008,1,48
LB,04/02/2008,2,52
LB,04/02/2008,3,110
LB,07/08/2008,1,15
LB,07/08/2008,2,15
LB,07/08/2008,3,15
LB,07/08/2008,1,9
LB,07/08/2008,2,7
LB,07/08/2008,3,7
LB,07/08/2008,1,31
LB,07/08/2008,2,35
LB,07/08/2008,3,36
LB,10/07/2008,1,16
LB,10/07/2008,2,12
LB,10/07/2008,3,3
LB,10/07/2008,1,14
LB,10/07/2008,2,20
LB,10/07/2008,3,6
LB,10/07/2008,1,15
LB,10/07/2008,2,28
LB,10/07/2008,3,36
LB,01/07/2009,1,77
LB,01/07/2009,2,32
LB,01/07/2009,3,46
LB,01/07/2009,1,48
LB,01/07/2009,2,31
LB,01/07/2009,3,30
LB,01/07/2009,1,29
LB,01/07/2009,2,12
LB,01/07/2009,3,43
