Date,ddin,ddon
11/25/2013,0.036781669,0.363363916
11/26/2013,0.042195861,0.482113355
11/27/2013,0.042794167,0.432408449
11/28/2013,0.047658515,0.455779142
11/29/2013,0.042886366,0.483611536
11/30/2013,0.043116534,0.48411093
12/01/2013,0.043346702,0.484610324
12/02/2013,0.04357687,0.485109717
12/03/2013,0.043807038,0.485609111
12/04/2013,0.047071948,0.489933715
12/05/2013,0.044267374,0.486607898
12/06/2013,0.045162661,0.487547799
12/07/2013,0.055799994,0.437229596
12/08/2013,0.044957879,0.488106079
12/09/2013,0.045202719,0.48857486
12/10/2013,0.045667637,0.488584443
12/11/2013,0.046132555,0.488594025
12/12/2013,0.046597473,0.488603608
12/13/2013,0.048114418,0.487385999
12/14/2013,0.047527308,0.488622774
12/15/2013,0.048557192,0.487716893
12/16/2013,0.06568017,0.399090012
12/17/2013,0.065414044,0.403051944
12/18/2013,0.04938698,0.488661106
12/19/2013,0.049851898,0.488670689
12/20/2013,0.050316816,0.488680271
12/21/2013,0.050781734,0.488689854
12/22/2013,0.051246652,0.488699437
12/23/2013,0.051711569,0.48870902
12/24/2013,0.052176487,0.488718603
12/25/2013,0.052641405,0.488728186
12/26/2013,0.053106323,0.488737769
12/27/2013,0.053571241,0.488747352
12/28/2013,0.054036159,0.488756935
12/29/2013,0.056621612,0.480437411
12/30/2013,0.068159622,0.427634999
12/31/2013,0.055430913,0.488785683
01/01/2014,0.056004533,0.488769003
01/02/2014,0.056904261,0.488673535
01/03/2014,0.057803988,0.488578066
01/04/2014,0.058703716,0.488482598
01/05/2014,0.059603443,0.488387129
01/06/2014,0.060503171,0.488291661
01/07/2014,0.061402899,0.488196192
01/08/2014,0.062302626,0.488100723
01/09/2014,0.063202354,0.488005255
01/10/2014,0.070906953,0.461864883
01/11/2014,0.065001809,0.487814318
01/12/2014,0.065901537,0.487718849
01/13/2014,0.066801264,0.487623381
01/14/2014,0.067700992,0.487527912
01/15/2014,0.06860072,0.487432444
01/16/2014,0.069500447,0.487336975
01/17/2014,0.070400175,0.487241506
01/18/2014,0.071299902,0.487146038
01/19/2014,0.07219963,0.487050569
01/20/2014,0.073099358,0.486955101
01/21/2014,0.087900148,0.436508369
01/22/2014,0.074898813,0.486764164
01/23/2014,0.075798541,0.486668695
01/24/2014,0.076721254,0.486644503
01/25/2014,0.083742354,0.467249016
01/26/2014,0.07862579,0.486779399
01/27/2014,0.094726473,0.420965366
01/28/2014,0.098665257,0.388210571
01/29/2014,0.081482593,0.486981744
01/30/2014,0.082434861,0.487049192
01/31/2014,0.083387129,0.48711664
02/01/2014,0.084339396,0.487184089
02/02/2014,0.085291664,0.487251537
02/03/2014,0.086243932,0.487318985
02/04/2014,0.0871962,0.487386434
02/05/2014,0.088148467,0.487453882
02/06/2014,0.090355361,0.48386028
02/07/2014,0.090985776,0.484895662
02/08/2014,0.09100527,0.487656227
02/09/2014,0.093677958,0.482869688
02/10/2014,0.092909806,0.487791123
02/11/2014,0.106559534,0.424352871
02/12/2014,0.094814341,0.48792602
02/13/2014,0.095766609,0.487993468
02/14/2014,0.096718877,0.488060916
02/15/2014,0.097671145,0.488128364
02/16/2014,0.098544533,0.489309639
02/17/2014,0.099370595,0.491159209
02/18/2014,0.100196656,0.49300878
02/19/2014,0.101022718,0.49485835
02/20/2014,0.101848779,0.49670792
02/21/2014,0.10267484,0.498557491
02/22/2014,0.103500902,0.500407061
02/23/2014,0.104326963,0.502256631
02/24/2014,0.105153024,0.504106202
02/25/2014,0.110901074,0.489501116
02/26/2014,0.111700621,0.281663419
02/27/2014,0.107631209,0.509654913
02/28/2014,0.10845727,0.511504483
03/01/2014,0.109283331,0.513354053
03/02/2014,0.110109393,0.515203624
03/03/2014,0.110935454,0.517053194
03/04/2014,0.111761516,0.518902764
03/05/2014,0.112587577,0.520752335
03/06/2014,0.113413638,0.522601905
03/07/2014,0.1142397,0.524451475
03/08/2014,0.115065761,0.526301046
03/09/2014,0.115934696,0.52781036
03/10/2014,0.114426785,0.483134416
03/11/2014,0.117250331,0.532805677
03/12/2014,0.117715021,0.535831765
03/13/2014,0.11817971,0.538857853
03/14/2014,0.1186444,0.541883942
03/15/2014,0.11910909,0.54491003
03/16/2014,0.119573779,0.547936118
03/17/2014,0.120038469,0.550962206
03/18/2014,0.120409951,0.554157395
03/19/2014,0.120967848,0.557014382
03/20/2014,0.121432538,0.56004047
03/21/2014,0.121897228,0.563066558
03/22/2014,0.122361917,0.566092646
03/23/2014,0.122826607,0.569118734
03/24/2014,0.123291297,0.572144822
03/25/2014,0.120741428,0.581383991
03/26/2014,0.124220676,0.578196998
03/27/2014,0.124685366,0.581223086
03/28/2014,0.125150056,0.584249175
03/29/2014,0.125614745,0.587275263
03/30/2014,0.126079435,0.590301351
03/31/2014,0.126544125,0.593327439
04/01/2014,0.127008814,0.596353527
04/02/2014,0.127473504,0.599379615
04/03/2014,0.128021279,0.602309314
04/04/2014,0.128569054,0.605239013
04/05/2014,0.129116829,0.608168711
04/06/2014,0.129664604,0.61109841
04/07/2014,0.130212379,0.614028109
04/08/2014,0.130760154,0.616957808
04/09/2014,0.131307929,0.619887507
04/10/2014,0.131855704,0.622817206
04/11/2014,0.132403479,0.625746905
04/12/2014,0.132951254,0.628676604
04/13/2014,0.133499029,0.631606302
04/14/2014,0.134046804,0.634536001
04/15/2014,0.115189531,0.652690485
04/16/2014,0.113021006,0.653877205
04/17/2014,0.135690129,0.643325098
04/18/2014,0.136237904,0.646254797
04/19/2014,0.136785679,0.649184496
04/20/2014,0.137333454,0.652114195
04/21/2014,0.137881229,0.655043893
04/22/2014,0.138429004,0.657973592
04/23/2014,0.138976779,0.660903291
04/24/2014,0.139524554,0.66383299
