Date,Z
06/14/2017,0.000164151
06/14/2017,6.85E-05
07/05/2017,0.000120209
07/05/2017,0.000149434
08/16/2017,0.000587352
08/16/2017,0.000191367
09/13/2017,2.23E-05
09/13/2017,3.38E-05
10/09/2017,9.39E-05
10/09/2017,4.66E-05
