Date,ddin,ddon,TEMP
03/19/2008,2.613054543,0.668115689,17.10124996
03/20/2008,2.676991441,0.687711509,17.02937496
03/21/2008,2.351802355,0.629411437,16.95749996
03/22/2008,1.852332858,0.528788985,16.88562496
03/23/2008,2.052987441,0.580832326,16.81374996
03/24/2008,2.141115035,0.605605201,16.74187496
03/25/2008,1.700215638,0.486349602,16.66999996
03/26/2008,1.696125812,0.497802831,17.53874996
03/27/2008,1.66898824,0.487427853,18.40749997
03/28/2008,1.665911991,0.499816422,19.27624998
03/29/2008,1.848069006,0.552212038,20.14499998
03/30/2008,1.811658773,0.54691876,21.01374999
03/31/2008,1.801144334,0.547863157,21.88249999
04/01/2008,1.586192579,0.485639403,22.75125
04/02/2008,1.49692085,0.430035762,23.62
04/03/2008,1.233518784,0.350756105,24.7
04/04/2008,1.536284478,0.47995004,24.28499999
04/05/2008,1.740059176,0.548005182,23.86999998
04/06/2008,1.645418961,0.528088637,23.45499997
04/07/2008,1.483368953,0.470621136,23.03999996
04/08/2008,1.416149631,0.430054097,23.60999995
04/09/2008,1.289299114,0.39294895,23.02666662
04/10/2008,1.152004958,0.356208257,22.44333328
04/11/2008,1.131833636,0.353889927,21.85999995
04/12/2008,1.119122992,0.354281655,21.27666662
04/13/2008,1.106412349,0.354673383,20.69333328
04/14/2008,1.093701705,0.355065111,20.10999995
04/15/2008,1.080991062,0.355456839,20.32833328
04/16/2008,1.068280418,0.355848566,20.54666662
04/17/2008,1.101886964,0.372887598,20.76499995
04/18/2008,1.675106392,0.568456959,20.98333329
04/19/2008,1.96321117,0.629665935,21.20166662
04/20/2008,1.811879014,0.603015297,21.41999995
04/21/2008,1.693905846,0.581148129,21.63833329
04/22/2008,1.630755156,0.568849729,21.85666662
04/23/2008,1.654444342,0.577213609,22.07499996
04/24/2008,1.487592717,0.540282453,22.29333329
04/25/2008,1.617538464,0.574233316,22.51166662
04/26/2008,1.832705593,0.624270727,22.72999996
04/27/2008,1.794958246,0.619289868,22.94833329
